"v1","v2","v3","v4","v5","v7_1","v7_2","v7_3","v7_4","v7_5","v7_6","v7_7","v7_8","v8","v9_1","v9_2","v10_1","v10_2","v10_3","v10_4","v10_5","v10_6","v10_7","v10_8","v10_9","v10_10","v10_11","v10_12","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22_1","v22_2","v22_3","v22_4","v22_5","v22_6","v23","v24","v25","v28","v29","v31","v32","v33","v35","v36","v37","v38","v9_3"
2,1,1,1,1,1,0,0,0,1,0,0,1,1150,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,3,0,1,3,0,19,19,1,1,2,240
6,1,1,1,1,1,0,1,0,0,1,0,0,499,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,2,1,1,4,0,8,8,1,2,2,300
8,2,1,1,1,1,0,1,0,0,0,0,0,650,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,0,0,4,0,12,12,1,1,1,NA
6,1,1,1,1,1,0,0,0,0,0,0,1,699,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,NA,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,NA,1,0,4,1,20,20,1,2,1,NA
7,1,1,1,1,0,1,1,0,0,0,0,0,299,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,3,0,9,9,1,1,2,5
5,1,1,1,1,0,1,1,0,0,0,0,0,398,0,10,1,1,1,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,NA,1,1,5,0,9,9,1,2,3,10
7,1,1,1,1,0,1,0,0,0,0,0,0,500,0,10,1,1,0,1,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,1,0,4,0,18,18,1,1,1,10
6,1,1,1,1,1,0,0,0,0,0,0,0,700,0,10,0,1,1,0,0,0,0,0,1,0,0,0,0,4,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,1,1,0,4,0,14,14,1,1,1,10
4,1,1,1,1,1,0,1,0,1,0,1,0,499,0,15,1,1,0,1,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,8,8,1,2,2,15
7,1,1,1,1,0,1,1,0,1,0,0,0,299,0,20,0,1,1,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,0,3,1,1,6,1,7,7,0,1,1,20
6,2,2,1,1,1,0,0,0,0,0,0,0,399,0,30,1,1,1,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,10,10,1,2,2,30
7,1,1,1,1,0,1,1,0,0,0,0,0,200,0,30,1,1,1,0,0,0,0,0,0,0,0,0,NA,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,2,0,14,14,1,1,8,30
6,1,1,1,1,1,0,0,0,0,0,0,0,599,0,30,1,1,0,1,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,14,14,1,1,2,30
5,1,1,1,1,1,0,0,0,0,0,0,0,1399,0,30,1,1,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,3,0,4,0,0,3,0,11,11,0,2,3,30
